Order_Date,Product,Category,Region,Quantity,Sales,Profit,Customer_Type
1/5/2026,Laptop,Electronics,Karachi,2,180000,20000,Corporate
1/7/2026,Monitor,Electronics,Lahore,5,125000,15000,Retail
1/10/2026,Keyboard,Electronics,Islamabad,8,40000,8000,Retail
1/14/2026,Office Chair,Furniture,Karachi,4,60000,10000,Corporate
1/18/2026,Desk,Furniture,Lahore,3,75000,12000,Corporate
1/22/2026,Printer,Office Supplies,Islamabad,2,90000,14000,Corporate
1/25/2026,Mouse,Electronics,Karachi,10,25000,5000,Retail
2/2/2026,Laptop,Electronics,Lahore,3,270000,30000,Corporate
2/5/2026,Monitor,Electronics,Karachi,4,100000,12000,Retail
2/9/2026,Office Chair,Furniture,Islamabad,6,90000,15000,Retail
2/13/2026,Desk,Furniture,Karachi,2,50000,8000,Corporate
2/17/2026,Printer,Office Supplies,Lahore,3,135000,21000,Corporate
2/21/2026,Keyboard,Electronics,Karachi,12,60000,12000,Retail
2/26/2026,Mouse,Electronics,Islamabad,15,37500,7500,Retail
3/3/2026,Laptop,Electronics,Karachi,2,180000,20000,Corporate
3/6/2026,Monitor,Electronics,Lahore,6,150000,18000,Retail
3/10/2026,Office Chair,Furniture,Karachi,5,75000,12500,Corporate
3/14/2026,Desk,Furniture,Islamabad,4,100000,16000,Corporate
3/18/2026,Printer,Office Supplies,Karachi,2,90000,14000,Retail
3/23/2026,Keyboard,Electronics,Lahore,10,50000,10000,Retail
3/27/2026,Mouse,Electronics,Karachi,20,50000,10000,Retail
4/2/2026,Laptop,Electronics,Islamabad,4,360000,40000,Corporate
4/6/2026,Monitor,Electronics,Karachi,5,125000,15000,Retail
4/11/2026,Office Chair,Furniture,Lahore,3,45000,7500,Corporate
4/15/2026,Desk,Furniture,Karachi,5,125000,20000,Corporate
4/19/2026,Printer,Office Supplies,Islamabad,4,180000,28000,Corporate
4/24/2026,Keyboard,Electronics,Karachi,7,35000,7000,Retail
4/28/2026,Mouse,Electronics,Lahore,18,45000,9000,Retail
5/3/2026,Laptop,Electronics,Karachi,3,270000,30000,Corporate
5/7/2026,Monitor,Electronics,Islamabad,4,100000,12000,Retail
5/12/2026,Office Chair,Furniture,Karachi,7,105000,17500,Corporate
5/16/2026,Desk,Furniture,Lahore,3,75000,12000,Corporate
5/20/2026,Printer,Office Supplies,Karachi,3,135000,21000,Retail
5/25/2026,Keyboard,Electronics,Islamabad,9,45000,9000,Retail
5/29/2026,Mouse,Electronics,Karachi,14,35000,7000,Retail
6/4/2026,Laptop,Electronics,Lahore,2,180000,20000,Corporate
6/8/2026,Monitor,Electronics,Karachi,7,175000,21000,Retail
6/13/2026,Office Chair,Furniture,Islamabad,5,75000,12500,Corporate
6/18/2026,Desk,Furniture,Karachi,4,100000,16000,Corporate
6/24/2026,Printer,Office Supplies,Lahore,2,90000,14000,Retail
